statecode,male-percentage,female-percentage,p-value
00,20.241548410288495,17.498691792902125,0.9275359969118937
01,35.78051405115936,28.995278478266762,0.002129763243385711
02,13.885859708266214,12.177475641708218,0.501709395323588
03,19.8118032318804,17.58998274784867,0.7693460899470468
04,24.85796408588114,23.926518628353346,0.21325567774607412
05,16.99633284693582,14.07897999381229,0.8261774479168458
06,19.09201767148578,15.859122348087936,0.6510775458691392
07,33.94719408197722,30.86982244348683,0.7356695950860295
08,10.540008202864184,8.24111506832045,0.81312047499705
09,11.258478734454876,8.942479034101423,0.8229213665379562
10,15.503510924293174,13.37619385445521,0.7166716864221654
11,35.25954127588448,32.58494575784241,0.9676033060420767
12,33.86229675366151,33.68795861543859,0.07140375075350809
13,34.67587437259002,35.323681950992444,0.1460023936900127
14,28.086051164129223,25.949613606471317,0.721701452679093
15,25.110788185234608,21.644979303039307,0.5326276039322941
16,31.176028715689913,26.98843760714538,0.24760268676485642
17,18.791056901849537,18.104927470599442,0.15400062738303943
18,33.52135328693732,31.21273082056864,0.8186912321304393
19,14.939389789067823,11.585782275646203,0.5883211476667227
20,26.628293685025945,24.28366517271119,0.8393849467947081
21,21.244381046774354,18.27060985502321,0.7939338968002125
22,12.276816727636282,10.904263373835567,0.35787555578841324
23,12.539962319779063,10.950205404886084,0.4476910854840753
24,31.368957609190613,25.71223892195612,0.025128333565235677
25,32.870040784825115,35.09887461536806,0.7733014279996762
26,35.58784062758051,39.02126723085849,0.5484239078178905
27,35.33379326799061,31.618782981971773,0.4192381338278036
28,19.691770533940485,16.33025999349623,0.5843116498152799
29,27.493410089439102,26.243053121548133,0.3127254031681228
30,25.98452255323755,26.80562409213169,0.18483213121618847
31,14.802403163964616,11.703349282296651,0.7236533630112942
32,15.966788649346508,13.899302529212715,0.6839890783449366
33,26.539198723780178,23.26741981982032,0.6305621331984257
34,28.207330154070704,23.267898565093272,0.0871648404885277
35,49.55464309832357,47.37212312194024,0.747295275149612
