statecode,male-percentage,female-percentage,p-value
00,8.108333640396491,6.037043996033533,0.6964960526072297
01,18.955278856234514,14.192765530518722,0.3613613970342875
02,5.757763134956387,4.339927910275994,0.47994324586104165
03,29.945363440535566,26.29811812126079,0.7092454089328367
04,30.75053860845275,30.207651009821245,0.25849375241012773
05,2.131838055126219,1.5821501342118724,0.25988357523574845
06,5.048102467229069,4.127133556576486,0.34367536755462036
07,8.25065208494718,7.906043305559882,0.22021909974057874
08,1.8082249563915183,1.1028400991107188,0.2931240258845119
09,1.4806522288223898,1.0895322046211406,0.2288101561082151
10,1.8948229948190762,1.3128863872366223,0.26654481762371174
11,30.775683288451418,28.512349264539644,0.766401196219421
12,33.150584385750626,27.154512813239478,0.13105797432370705
13,29.92175857293571,24.205826264634066,0.16934025272857356
14,24.763552543956358,18.386362481724632,0.09018104115568208
15,6.250956622891603,3.368354227144299,0.9978425427698114
16,6.88991963192017,3.858428343672081,0.9403885630892268
17,10.775274963936958,7.740853404309121,0.9392599425969336
18,16.53939224852462,11.241943195437901,0.24130230413026688
19,3.82267078527396,2.454961746089602,0.46498680958157934
20,5.705505184044124,3.905131823941969,0.6022232174356117
21,15.836269388429342,10.43280245208549,0.22130649004127678
22,1.9103249890223521,1.3956479797563037,0.2527832436940446
23,2.0156434971043784,1.4274742097581679,0.2678456584080219
24,16.45301585265245,11.708091823418968,0.36585807752614397
25,14.541486749921823,13.713338927979688,0.32126429022143077
26,22.840627580511974,18.179514368218527,0.3877604281142364
27,19.668401328391834,15.276290267454803,0.4632771366174643
28,9.039085818139355,5.951769054860848,0.9189100564993966
29,14.593422208926201,10.996294555612202,0.7273839059439582
30,53.48404902995373,48.08515370340768,0.2221434568951104
31,19.427588080789786,11.311004784688995,0.011197040523447018
32,10.819320049924466,8.370938385371614,0.8356166773683898
33,3.9022441074797354,2.8797506627152534,0.36930290667723176
34,6.662574223156809,4.855832633033385,0.6043723110209929
35,20.62690083846385,17.366495976591075,0.8527590891808912
